	nodeName	Degree	AvgNeighbors	Clustering	PageRank	Eigenvector
0	AMPH	9	52.77777777777778	0.0277777777777777	6.037916975930671e-05	0.0010952035228544
1	SYNJ1	6	43.333333333333336	0.0	5.481963322256904e-05	0.0004432820687112
2	DNM1	8	32.125	0.0	6.189140592207688e-05	0.0002385948574346
3	DNM2	140	38.94285714285714	0.0178828365878725	0.000729609870502	0.019325765339734
4	PPP3CC	4	101.5	0.0	4.722353654262973e-05	0.0005015441782684
5	DEUP1	44	108.02272727272728	0.1099365750528541	0.0001831370947314	0.0161028840711379
6	ARL16	23	195.17391304347825	0.0830039525691699	0.0001111674930489	0.0084442914587531
7	TERF1	91	54.54945054945055	0.007081807081807	0.0006160856747657	0.0112135316936006
8	PPP3CA	19	30.894736842105264	0.0175438596491228	0.0001329481216789	0.0015448531520912
9	ATN1	140	38.97142857142857	0.0116135662898252	0.0006671989788424	0.0260545529068524
10	SORBS2	22	71.5909090909091	0.0952380952380952	0.0001235231790071	0.0038886198518516
11	EBI-7192184	1	6.0	0.0	1.921386293626445e-05	6.195522766824592e-06
12	SH3GL2	15	57.8	0.0571428571428571	0.0001042840420312	0.0010741448548733
13	SNX9	14	37.285714285714285	0.0549450549450549	9.32114628825906e-05	0.0007924472776581
14	GRB2	199	39.64321608040201	0.0115222577534135	0.0010575259427813	0.0236600276857228
15	ITSN1	9	53.22222222222222	0.0277777777777777	5.810908532690887e-05	0.0008990496091377
16	NCK1	33	37.36363636363637	0.0568181818181818	0.000185020905407	0.0033513502282257
17	FNBP1	7	35.57142857142857	0.0476190476190476	5.246178788712424e-05	0.0005164779620779
18	NOSTRIN	4	36.75	0.0	3.2807382727170146e-05	0.0002704696993015
19	LRRK2	178	19.2247191011236	0.0052688376817114	0.0012031190144543	0.0059491934464082
20	SNX33	15	162.46666666666667	0.0857142857142857	8.037652271603214e-05	0.0043944960272022
21	SPG11	2	29.5	0.0	2.238440338850936e-05	0.0002033652316213
22	MYO1E	2	72.0	0.0	2.972626780763786e-05	0.0003030301703824
23	PACSIN2	8	134.875	0.0	5.031337038249247e-05	0.0026650662899084
24	CTTN	9	96.55555555555556	0.1111111111111111	5.160169666430816e-05	0.0014001276865966
25	SH3BP4	7	80.14285714285714	0.0476190476190476	5.653882611256745e-05	0.0005910560145647
26	SH3KBP1	45	74.91111111111111	0.0262626262626262	0.0002781396168945	0.0110213131980073
27	ATXN3	101	34.7029702970297	0.0081188118811881	0.0005255886726597	0.013030501194785
28	AHI1	4	53.25	0.0	3.01348116017814e-05	0.0007403147988671
29	HTT	842	28.585510688836106	0.0052392101925939	0.0047135756865924	0.0922786378058894
30	DNALI1	84	49.10714285714285	0.0174985656913367	0.0004047107355236	0.012279823446249
31	UBASH3A	78	73.74358974358974	0.0209790209790209	0.0003436334176981	0.0219450044738433
32	EBI-22313194	47	38.42553191489362	0.0203515263644773	0.000241436141277	0.0061642642512766
33	SEC23A	30	47.56666666666667	0.025287356321839	0.0001477754830177	0.0025108596700501
34	RNF8	52	63.17307692307692	0.0120663650075414	0.0002349868146573	0.0121070551713272
35	BAG3	80	67.1125	0.0265822784810126	0.0003630295289747	0.018024114447561
36	TRAF4	98	74.01020408163265	0.0389227856090889	0.0004274419250195	0.0273263449654718
37	QARS1	70	118.18571428571428	0.0583850931677018	0.0002958638104682	0.0278527897235159
38	SDCBP	274	55.41240875912409	0.0116307050613619	0.0013008150309283	0.0480697874144843
39	PRKAA2	107	86.11214953271028	0.0372068418268383	0.0004584944356116	0.0371050625452602
40	FLAD1	13	103.84615384615384	0.0512820512820512	7.503125701499469e-05	0.0036378751865548
41	NME2	4	53.0	0.1666666666666666	3.01865866715378e-05	0.000542864140442
42	PHOX2A	4	189.0	0.0	2.6899771124215203e-05	0.0016859265346732
43	CSF2	5	339.4	0.1	3.942384987959821e-05	0.0029175024867182
44	EYA3	13	240.53846153846155	0.1025641025641025	6.465126887637414e-05	0.0064935282383808
45	BOK	6	77.33333333333333	0.0	3.702676821296409e-05	0.0011136519223623
46	CISH	5	159.8	0.0	3.658684976933384e-05	0.0010991769954608
47	PRDM1	4	73.5	0.1666666666666666	2.8344664280249983e-05	0.0007039850480399
48	DELE1	10	171.1	0.1111111111111111	5.395398077202495e-05	0.0031089342554772
49	FTL	17	227.4705882352941	0.0808823529411764	8.855962180890243e-05	0.0077171289457501
50	FYN	69	95.65217391304348	0.036231884057971	0.0003606999448018	0.0135872880803523
51	CLPP	24	165.875	0.0615942028985507	0.0001165663479231	0.0098769087160602
52	BRK1	63	93.52380952380952	0.07168458781362	0.000307282723293	0.0150098268209658
53	H3C1	56	84.66071428571429	0.0519480519480519	0.0003002235876115	0.008405533356204
54	FZD4	6	287.8333333333333	0.0666666666666666	4.811595537126311e-05	0.0035004053050706
55	TGM2	26	170.23076923076923	0.1107692307692307	0.0001385233860516	0.0092480839310847
56	TFF2	15	116.93333333333334	0.0285714285714285	0.0001057199323065	0.0030874002783383
57	TXN	30	102.0	0.0505747126436781	0.0001466475387135	0.0073474233713261
58	TP53BP1	57	101.859649122807	0.0382205513784461	0.0002836653992931	0.01415254580691
59	PIWIL1	6	264.3333333333333	0.0666666666666666	5.008500719281965e-05	0.0026669041352376
60	KIAA0355	6	188.0	0.0	3.690547316515627e-05	0.0022964103706048
61	FEZ2	17	205.94117647058823	0.1691176470588235	9.10080855452776e-05	0.0064573683328389
