nodeName	Clusteringcoeff
NAT10	0.4894308943089431
PRPF31	0.2771649200220629
RSL1D1	0.5932264456854621
GLTSCR2	0.575901593514118
TTC27	0.5493468795355588
RPS13	0.3749410787636641
RPP38	0.40266233766233767
NOL11	0.8643863179074447
UTP23	0.732065775950668
RPF1	0.6494423143952597
DDX54	0.6891828058573453
ELP3	0.2898550724637681
DHX32	0.4872695346795435
RRP1B	0.6497198879551821
DDX55	0.535567539804828
TRMT11	0.46088138225587266
TEX13A	0.6043956043956044
RPF2	0.4252662223243699
NOP2	0.5588898281205974
TEP1	0.5375494071146245
GNL3	0.5551489470980996
RRP12	0.5679355574565156
NOC3L	0.6591692363504444
GRWD1	0.5811269028208643
TBL3	0.517215900694547
TRUB1	0.635841170323929
RPS14	0.35557341907824225
RPS28	0.4151452567809445
RRP1	0.7674931129476584
WDR74	0.6796259842519685
DDX56	0.6248466921578529
EBNA1BP2	0.5234492283672612
PNO1	0.47417840375586856
NOC4L	0.5702949801621529
DNTTIP2	0.7372908622908623
MDN1	0.7526570048309179
KRI1	0.7793199167244969
DHX33	0.5797236453966775
THUMPD1	0.0
SKIV2L2	0.41843497632971316
RPS7	0.40480427046263345
NOM1	0.7639751552795031
SNRPE	0.20281189398836458
GMPS	0.1991596638655462
PUS7	0.5866666666666667
UTP11L	0.6106366459627329
IPO4	0.27425944841675176
LOC102724159	0.7179647586278803
KIAA0020	0.5664285714285714
DHX15	0.2715512985089365
UTP20	0.6647919010123734
NOP14	0.5333830845771145
SNRPB	0.2631740599359396
RPS27	0.4646094839609484
RRP8	0.7165795369678865
GNL2	0.4616681197326359
NMD3	0.4505025125628141
PPAN	0.7820828667413214
TRMT1	0.5054858934169278
POLR3A	0.299608551641072
BOP1	0.4509523383707413
POLR1E	0.4526660963786712
DIMT1	0.7476624015748031
UTP3	0.6007960965588084
RPS4X	0.39037379167613134
MRPS7	0.3890275667462557
RPS18	0.3314604594274357
GNL3L	0.5998548738208498
DHX37	0.5993334848140575
ENSG00000260342	0.5857814336075206
DDX24	0.6527152317880794
WDR75	0.6405764966740577
GNL1	0.6329365079365079
EXOSC2	0.4899159663865546
RPS27L	0.5621993127147766
POLR1A	0.33579498484430975
RPS23	0.38940632776395306
TWISTNB	0.4890019452341763
DDX28	0.7023762376237623
RPS6	0.35910267471958585
NOL6	0.6023366192040891
RBM19	0.827022518765638
RPS16	0.3814903732994398
LSG1	0.5036998972250771
GAR1	0.31708991077556625
NIP7	0.43874631136546544
RBM34	0.8592042877757163
EIF4A3	0.1935851871352727
UTP18	0.551446583361477
CIRH1A	0.5871700429711479
LSM11	0.4147727272727273
UTP6	0.5482078948774104
RBM28	0.5848409826699676
RSL24D1	0.43669958758411115
NOP9	0.7460097154753643
NOB1	0.5540004328692013
NOC2L	0.5588726245505906
TSR2	0.7596751075011945
NGDN	0.6198224852071006
MAK16	0.6081273565144533
FBL	0.3732217573221757
IPO5	0.22193877551020408
PTGES3	0.1378391472868217
AATF	0.585708782742681
PWP1	0.6323541119337632
MPHOSPH10	0.5909350599885737
RPS11	0.3554342331412395
WBSCR22	0.5545568039950063
SNRPD3	0.2141223556317896
EMG1	0.5389751552795031
TRMT1L	0.6677740863787376
DKC1	0.3529898043538165
PES1	0.45937615016562383
PDCD11	0.42213883677298314
BYSL	0.43400649116480344
RRS1	0.49174723572458734
MYBBP1A	0.45866666666666667
UTP14C	0.7374708624708625
WDR46	0.5438012159661644
BMS1	0.5998237367802585
ENSG00000257411	0.5611721611721612
WDR36	0.537738368676887
DDX31	0.7779963283503802
FBLL1	0.6403992953611274
DQX1	0.5765027322404371
EXOSC10	0.3486723791388977
RCL1	0.7542338436526216
DDX17	0.2933732933732934
RTCA	0.7762796504369538
RPS9	0.38907088907088905
NHP2L1	0.29954206698392744
WDR12	0.41180584121760594
GTPBP4	0.34740403465503067
TERT	0.15384615384615385
NSUN2	0.48197492163009403
HNRNPU	0.3056508808053077
POLR3B	0.3442288049029622
DCAF13	0.40685977457277905
NIFK	0.4822273737081039
RRP36	0.7675824175824176
WDR3	0.5707577720207254
DDX49	0.4416109253065775
FTSJ3	0.5161172161172162
RIOK1	0.6147368421052631
BRIX1	0.5219741480611045
NHP2	0.3047674569244721
PWP2	0.6589534789970168
UTP14A	0.7039043687650499
NOP56	0.38004440381350396
DDX27	0.6088334742180896
WDR4	0.4581920903954802
KRR1	0.6058441558441559
FKBP15	0.6730820636193531
TRMT61A	0.45877551020408164
MARS	0.310663021189337
DDX47	0.7511900983814662
RPS5	0.34835423197492166
RPS8	0.4000981474665685
VCAN	0.19207459207459207
WDR43	0.5280112044817927
NLE1	0.7293469708890638
ESF1	0.6633302054008967
HNRNPC	0.23844520659807283
LYAR	0.5167565485362096
NOP10	0.254272043745728
NOL10	0.5673628515733778
DDX52	0.6216510267917856
TSR1	0.4882014121144556
IMP3	0.4248468137254902
RPS15A	0.38946559015763166
UTP15	0.6153748492350664
IMP4	0.556172349986783
SDAD1	0.4969458987783595
RRP9	0.5237282348924548
POLR1B	0.31447558102739004
RRP7A	0.7107438016528925
NOLC1	0.5257861635220126
PPAN-P2RY11	0.8753164556962025
EIF4G1	0.1781905744754042
CAPRIN1	0.21904761904761905
ENSG00000276612	0.7924908424908425
RPS24	0.42428748451053283
DDX18	0.6319229157938835
TRMT6	0.527411519777932
DDX10	0.631523138680603
CEBPZ	0.7258064516129032
NOP58	0.43105590062111804
PA2G4	0.4618782722513089
URB1	0.7534722222222222
TRMT61B	0.37846153846153846
KCTD19	0.8447164948453608
HEATR1	0.5969728242174063
DDX51	0.7556280080732806
WDR18	0.6599099099099099
RPS3A	0.38402535811072397
DIEXF	0.6727258956297811
WRAP53	0.3129432624113475
MRTO4	0.36091458153580674
SUN1	0.24333333333333335
FCF1	0.6806596701649176
GCN1L1	0.16282051282051282
DDX5	0.20860495436766624
PAK1IP1	0.7195121951219512
NVL	0.6875653082549634
POLR3C	0.4453524004085802
NSA2	0.4582964927792514
LSM3	0.4206648697214735
CWC27	0.7856349500185117
RNF113A	0.7981220657276995
KMT2A	0.23564122738001572
TAF1	0.3038701622971286
SNRNP40	0.43996062992125984
XRN2	0.3092603377984857
RPGR	0.12701612903225806
RBM42	0.8737541528239202
SNRPG	0.20182793895690088
PHF20	0.47840531561461797
MFAP1	0.6176470588235294
DHX16	0.6982074640023509
LSM5	0.5431702753274525
SENP3	0.35123367198838895
PELP1	0.2846153846153846
AAR2	0.46320346320346323
CWC22	0.5392827356130109
RBMX2	0.7360759493670886
PRPF3	0.5486208508648901
GCHFR	0.20512820512820512
TAF9	0.2818920210224558
KAT8	0.3891975308641975
SNRPN	0.4159760183389173
E2F6	0.2872975277067349
SF3B3	0.40319049108539257
RBM25	0.36946778711484596
TFPT	0.627906976744186
SF3B2	0.4353493834409865
PHF5A	0.5457322551662175
LSM4	0.5554035567715458
RBBP5	0.23353890803555233
EYS	0.06666666666666667
DAW1	0.6013071895424836
TUT1	0.10833333333333334
RNF2	0.2093935169048449
IMPDH1	0.37777777777777777
DHX38	0.46412791920892066
LSM10	0.49615558570782453
CNOT3	0.3266888150609081
BUD13	0.6583248212461695
ZMAT2	0.8689265536723164
LSM6	0.5674953221063886
C17orf49	0.6381381381381381
LAS1L	0.5354239256678281
SF3B1	0.24934577312549777
SNRPC	0.41223470661672906
DHX8	0.45694975022039375
IK	0.9562594268476622
SART3	0.4034090909090909
HNRNPH2	0.39487179487179486
SNRPA1	0.4403086226670837
SF3B4	0.5020959478341872
CTNNBL1	0.4531993654151243
SNRPA	0.4830198537095089
SF3B5	0.4649277925139994
PPIH	0.7488215488215488
XAB2	0.36257967754030745
CD2BP2	0.6058201058201058
EFTUD2	0.2524486571879937
PRPF4B	0.6289562289562289
LSM2	0.549585672280139
SRRM2	0.5543956043956044
TEX10	0.4864053377814846
MEPCE	0.23809523809523808
WDR5	0.1915668465622395
SF3A2	0.41464260929909785
PRPF4	0.6770334928229665
DDX23	0.5602077247646868
NFYB	0.1933395004625347
ZNHIT3	0.43636363636363634
TAF4	0.33943833943833945
SMU1	0.7306707629288275
SF3A3	0.5545361875637105
CHD8	0.3852040816326531
HAUS3	0.5833333333333334
SNRPB2	0.552623688155922
WBP4	0.9051948051948052
SART1	0.5758771929824561
AK6	0.36470588235294116
RBM22	0.6205311542390194
HCFC1	0.18521836506159015
RUVBL2	0.1779153766769866
