nodeName	Eigenvector
NAT10	0.05477015919250753
PRPF31	0.013542708635486787
RSL1D1	0.05376348481651171
GLTSCR2	0.04487798717871233
TTC27	0.013303772293099266
RPS13	0.08625553830509822
RPP38	0.054751044491642406
NOL11	0.026633735557563997
UTP23	0.04009319249736602
RPF1	0.042354766666542566
DDX54	0.03918182308190752
ELP3	0.007583596483291098
DHX32	0.017509575832769464
RRP1B	0.03404467155769093
DDX55	0.041334740238987575
TRMT11	0.023948952189631986
TEX13A	0.003992254472622138
RPF2	0.06340191284701942
NOP2	0.04516102537558213
TEP1	0.002269268432023728
GNL3	0.052145265643847714
RRP12	0.04059241076374415
NOC3L	0.038672186681636925
GRWD1	0.044308804486783045
TBL3	0.053789117443673574
TRUB1	0.024961359838269293
RPS14	0.0892923019667507
RPS28	0.08035579692736494
RRP1	0.03595568920701028
WDR74	0.03705750533501151
DDX56	0.04312515500465323
EBNA1BP2	0.049690555294101615
PNO1	0.05975328966665816
NOC4L	0.053077720549261694
DNTTIP2	0.03982841395290066
MDN1	0.01521276761359755
KRI1	0.03747677129036361
DHX33	0.028152687565978392
THUMPD1	0.0003285024431413332
SKIV2L2	0.04178153083034058
RPS7	0.08411263708758095
NOM1	0.01992940363554252
SNRPE	0.008554723385686214
GMPS	0.016947701714245016
PUS7	0.013030496611700216
UTP11L	0.04756290678146771
IPO4	0.01350238721253122
LOC102724159	0.04677878904002179
KIAA0020	0.04431901391450366
DHX15	0.038696785310876475
UTP20	0.03890053938429823
NOP14	0.053597756602510906
SNRPB	0.006397452245399548
RPS27	0.07510450889586089
RRP8	0.03028790966803214
GNL2	0.05315841903404263
NMD3	0.057681011686814804
PPAN	0.028618885630498306
TRMT1	0.02146466463778889
POLR3A	0.012078119870725637
BOP1	0.05102714125198493
POLR1E	0.038163072215791495
DIMT1	0.04054960190994039
UTP3	0.050421031918827464
RPS4X	0.08339799389769914
MRPS7	0.07657752061303362
RPS18	0.08848698029250777
GNL3L	0.043271553070668836
DHX37	0.04538724624543243
ENSG00000260342	0.0702344306942892
DDX24	0.039689410372747404
WDR75	0.04961780474762196
GNL1	0.02197610657599846
EXOSC2	0.019664513999511798
RPS27L	0.06789061024351985
POLR1A	0.03785653953213024
RPS23	0.08515205227356044
TWISTNB	0.038932037317104186
DDX28	0.031174370045230403
RPS6	0.08592361080913564
NOL6	0.04699992176880561
RBM19	0.03313396880134134
RPS16	0.08520830446244601
LSG1	0.045860015155110456
GAR1	0.01855859986123026
NIP7	0.05377044455616199
RBM34	0.030055622400816297
EIF4A3	0.023984213659907362
UTP18	0.05173276452323838
CIRH1A	0.05118426857846964
LSM11	0.0027064715448969707
UTP6	0.053391716970613096
RBM28	0.04477799176729204
RSL24D1	0.08640594070809735
NOP9	0.03669834561909328
NOB1	0.05260945534460637
NOC2L	0.043005355522828644
TSR2	0.031489161129663865
NGDN	0.05063926273278619
MAK16	0.04261790909239069
FBL	0.0664053411456187
IPO5	0.006642062078149458
PTGES3	0.00537598833932347
AATF	0.0515957335267287
PWP1	0.041584544525036446
